file,file_path,label
happy_0_0_78_vesus.wav,huge_collated_dataset/happy/happy_0_0_78_vesus.wav,happy
happy_5_2_124_vesus.wav,huge_collated_dataset/happy/happy_5_2_124_vesus.wav,happy
happy_7_4_202_vesus.wav,huge_collated_dataset/happy/happy_7_4_202_vesus.wav,happy
happy_4_4_38_vesus.wav,huge_collated_dataset/happy/happy_4_4_38_vesus.wav,happy
happy_6_4_140_vesus.wav,huge_collated_dataset/happy/happy_6_4_140_vesus.wav,happy
happy_6_4_189_vesus.wav,huge_collated_dataset/happy/happy_6_4_189_vesus.wav,happy
happy_3_0_36_vesus.wav,huge_collated_dataset/happy/happy_3_0_36_vesus.wav,happy
happy_2_2_188_vesus.wav,huge_collated_dataset/happy/happy_2_2_188_vesus.wav,happy
happy_2_2_141_vesus.wav,huge_collated_dataset/happy/happy_2_2_141_vesus.wav,happy
happy_7_4_76_vesus.wav,huge_collated_dataset/happy/happy_7_4_76_vesus.wav,happy
happy_0_0_122_vesus.wav,huge_collated_dataset/happy/happy_0_0_122_vesus.wav,happy
happy_5_2_197_vesus.wav,huge_collated_dataset/happy/happy_5_2_197_vesus.wav,happy
happy_4_4_42_vesus.wav,huge_collated_dataset/happy/happy_4_4_42_vesus.wav,happy
happy_4_4_157_vesus.wav,huge_collated_dataset/happy/happy_4_4_157_vesus.wav,happy
happy_4_4_227_vesus.wav,huge_collated_dataset/happy/happy_4_4_227_vesus.wav,happy
happy_7_4_108_vesus.wav,huge_collated_dataset/happy/happy_7_4_108_vesus.wav,happy
happy_1_2_164_vesus.wav,huge_collated_dataset/happy/happy_1_2_164_vesus.wav,happy
happy_0_0_158_vesus.wav,huge_collated_dataset/happy/happy_0_0_158_vesus.wav,happy
happy_3_0_107_vesus.wav,huge_collated_dataset/happy/happy_3_0_107_vesus.wav,happy
happy_3_0_85_vesus.wav,huge_collated_dataset/happy/happy_3_0_85_vesus.wav,happy
happy_1_2_214_vesus.wav,huge_collated_dataset/happy/happy_1_2_214_vesus.wav,happy
happy_5_2_35_vesus.wav,huge_collated_dataset/happy/happy_5_2_35_vesus.wav,happy
happy_5_2_21_vesus.wav,huge_collated_dataset/happy/happy_5_2_21_vesus.wav,happy
happy_6_4_13_vesus.wav,huge_collated_dataset/happy/happy_6_4_13_vesus.wav,happy
happy_1_2_200_vesus.wav,huge_collated_dataset/happy/happy_1_2_200_vesus.wav,happy
happy_3_0_58_vesus.wav,huge_collated_dataset/happy/happy_3_0_58_vesus.wav,happy
happy_3_0_91_vesus.wav,huge_collated_dataset/happy/happy_3_0_91_vesus.wav,happy
happy_3_0_113_vesus.wav,huge_collated_dataset/happy/happy_3_0_113_vesus.wav,happy
happy_0_0_185_vesus.wav,huge_collated_dataset/happy/happy_0_0_185_vesus.wav,happy
happy_2_2_56_vesus.wav,huge_collated_dataset/happy/happy_2_2_56_vesus.wav,happy
happy_1_2_170_vesus.wav,huge_collated_dataset/happy/happy_1_2_170_vesus.wav,happy
happy_0_0_16_vesus.wav,huge_collated_dataset/happy/happy_0_0_16_vesus.wav,happy
happy_4_4_233_vesus.wav,huge_collated_dataset/happy/happy_4_4_233_vesus.wav,happy
happy_4_4_143_vesus.wav,huge_collated_dataset/happy/happy_4_4_143_vesus.wav,happy
