file_path,label
huge_collated_dataset/sad/sad_2_5_174_vesus.wav,sad
huge_collated_dataset/neutral/neutral_5_5_108_vesus.wav,neutral
huge_collated_dataset/angry/angry_7_6_78_vesus.wav,angry
huge_collated_dataset/happy/happy_4_4_206_vesus.wav,happy
huge_collated_dataset/neutral/neutral_9_6_33_vesus.wav,neutral
huge_collated_dataset/happy/happy_3_0_202_vesus.wav,happy
huge_collated_dataset/happy/happy_1_2_26_vesus.wav,happy
huge_collated_dataset/sad/74be7612c4.wav,sad
huge_collated_dataset/sad/sad_9_4_216_vesus.wav,sad
huge_collated_dataset/happy/happy_4_4_89_vesus.wav,happy
huge_collated_dataset/neutral/neutral_7_1_6_vesus.wav,neutral
huge_collated_dataset/neutral/neutral_3_3_171_vesus.wav,neutral
huge_collated_dataset/happy/happy_6_4_229_vesus.wav,happy
huge_collated_dataset/sad/sad_1_5_119_vesus.wav,sad
huge_collated_dataset/fear/fear_tess1826.wav,fear
huge_collated_dataset/sad/sad_1_5_99_vesus.wav,sad
huge_collated_dataset/neutral/neutral_1_3_164_vesus.wav,neutral
huge_collated_dataset/neutral/neutral_4_0_149_vesus.wav,neutral
huge_collated_dataset/happy/happy_5_2_13_vesus.wav,happy
huge_collated_dataset/sad/sad_1_5_123_vesus.wav,sad
huge_collated_dataset/sad/sad_2_5_175_vesus.wav,sad
huge_collated_dataset/sad/sad_4_5_34_vesus.wav,sad
huge_collated_dataset/angry/angry_4_1_61_vesus.wav,angry
huge_collated_dataset/fear/fear_0_2_28_vesus.wav,fear
huge_collated_dataset/sad/sad_0_1_250_vesus.wav,sad
huge_collated_dataset/happy/happy_1_2_83_vesus.wav,happy
huge_collated_dataset/angry/angry_3_4_99_vesus.wav,angry
huge_collated_dataset/neutral/neutral_3_3_97_vesus.wav,neutral
huge_collated_dataset/neutral/neutral_0_3_201_vesus.wav,neutral
huge_collated_dataset/happy/happy_0_0_229_vesus.wav,happy
huge_collated_dataset/fear/fear_tess29.wav,fear
huge_collated_dataset/neutral/neutral_0_3_221_vesus.wav,neutral
huge_collated_dataset/sad/sad_0_1_107_vesus.wav,sad
huge_collated_dataset/angry/angry_2_0_65_vesus.wav,angry
huge_collated_dataset/happy/happy_0_0_41_vesus.wav,happy
huge_collated_dataset/fear/441a0729a0.wav,fear
huge_collated_dataset/sad/sad_0_1_171_vesus.wav,sad
huge_collated_dataset/angry/angry_4_1_167_vesus.wav,angry
huge_collated_dataset/fear/fear_1_1_176_vesus.wav,fear
huge_collated_dataset/angry/1582eaecce.wav,angry
huge_collated_dataset/fear/1c937329b1.wav,fear
huge_collated_dataset/angry/d0172c3eb5.wav,angry
huge_collated_dataset/neutral/neutral_0_3_124_vesus.wav,neutral
huge_collated_dataset/happy/happy_3_0_8_vesus.wav,happy
huge_collated_dataset/fear/fear_1_1_42_vesus.wav,fear
huge_collated_dataset/angry/angry_9_0_78_vesus.wav,angry
huge_collated_dataset/happy/happy_6_4_216_vesus.wav,happy
huge_collated_dataset/angry/angry_7_6_87_vesus.wav,angry
huge_collated_dataset/fear/dbfd9bfbd2.wav,fear
huge_collated_dataset/neutral/neutral_8_1_23_vesus.wav,neutral
huge_collated_dataset/angry/angry_4_1_49_vesus.wav,angry
huge_collated_dataset/sad/sad_4_5_217_vesus.wav,sad
huge_collated_dataset/angry/angry_9_0_243_vesus.wav,angry
huge_collated_dataset/happy/happy_6_4_197_vesus.wav,happy
huge_collated_dataset/neutral/neutral_5_5_64_vesus.wav,neutral
huge_collated_dataset/angry/angry_2_0_212_vesus.wav,angry
huge_collated_dataset/sad/sad_3_1_220_vesus.wav,sad
huge_collated_dataset/fear/fear_1_1_132_vesus.wav,fear
